Region,Year,Con. Res,Con. Ind,El. Res,El. Ind,N. Price. Res,N. Price. Ind,R. Price. Res,R. Price. Ind
Hokkaido,1990,7048924000,13405991000,"3365,104129","45925,55506","28,24601315","20,10146061","143,1465422","134,2001901"
Tohoku,1990,14953172000,38291489000,"4144,630502","56332,96652","26,07272892","18,1140514","131,3220557","120,5362583"
Tokyo,1990,60194455000,159747824000,"4387,255336","79980,72626","24,83781936","17,25248539","124,027397","115,5324204"
Chubu,1990,21664803000,78130377000,"4309,14139","81814,65452","23,56241135","16,45129653","118,1013715","108,5604408"
Hokuriku,1990,4506926000,16741940000,"5048,843631","80571,83008","24,81691512","16,10978178","141,8098812","118,9838426"
Kansai,1990,32422262000,88163139000,"4693,394761","75718,43553","23,83618392","16,11622517","126,8509894","111,8511307"
Chugoku,1990,11368795000,31542415000,"4373,631172","74079,74588","26,09669714","17,21237895","135,3318731","122,2913934"
Shikoku,1990,6087784000,14143456000,"4252,689111","56711,29217","25,66631799","18,25254026","133,1293435","124,0958159"
Kyusyu,1990,17376399000,38418077000,"3865,186692","54759,83574","25,77018403","18,39423144","142,0515562","130,6970845"
Okinawa,1990,1795494000,2929487000,"4740,690868","40687,88455","24,61829446","20,04412377","110,3491054","105,3931911"
Hokkaido,1991,7451627000,13937643000,"3503,863047","47684,6227","28,29489452","20,30135224","139,6047766","134,9581786"
Tohoku,1991,15711144000,39516139000,"4300,28296","58108,72187","26,1639127","18,28903375","128,2987332","121,1829715"
Tokyo,1991,63475970000,164154532000,"4535,470913","81952,28876","24,91960343","17,42896139","121,1473128","116,2177431"
Chubu,1991,22744528000,80395755000,"4451,041442","83863,94859","23,63597081","16,61647434","115,3392562","109,1840186"
Hokuriku,1991,4684586000,17025963000,"5190,320443","82131,20472","24,88309533","16,34309907","138,4304386","120,1936356"
Kansai,1991,33410121000,89339150000,"4777,757297","76685,04413","23,83523244","16,31966501","123,4937608","112,7812797"
Chugoku,1991,11684494000,32813498000,"4446,59272","77130,55558","26,09586688","17,27685357","131,7512577","122,2273435"
Shikoku,1991,6323412000,14224503000,"4370,299107","57066,93011","25,66446722","18,62581772","129,6017801","126,0950094"
Kyusyu,1991,17900879000,39370698000,"3928,82008","56223,29262","25,82655299","18,57132429","138,6000591","131,3940965"
Okinawa,1991,1939592000,3132791000,"5031,354004","43165,06607","24,71963176","19,97037147","107,8751333","104,5587417"
Hokkaido,1992,7816328000,14093590000,"3616,216031","48387,51652","28,3086892","20,58638005","137,3497974","138,2578751"
Tohoku,1992,16613702000,40059413000,"4489,289445","58913,84716","26,24899616","18,51757039","126,5751471","123,9568382"
Tokyo,1992,66100197000,163952254000,"4631,710854","81766,47775","24,99458511","17,64398433","119,4908513","118,8593204"
Chubu,1992,23616003000,79623298000,"4546,23565","83012,36064","23,69571176","16,85367265","113,7076081","111,8794694"
Hokuriku,1992,4853566000,17151753000,"5317,96821","83110,04778","24,94330972","16,5339951","136,4574764","122,8458566"
Kansai,1992,34069898000,88492171000,"4804,609336","76339,19946","23,83006841","16,54168932","121,4134999","115,4891774"
Chugoku,1992,12061624000,32942505000,"4537,094025","77614,04439","26,14880053","17,4487945","129,8227719","124,7110105"
Shikoku,1992,6481489000,13978998000,"4439,0507","56332,85513","25,65629595","18,95865498","127,4056637","129,6658833"
Kyusyu,1992,18572797000,40120460000,"4023,902541","57347,79495","25,9102062","18,70504476","136,736325","133,6987604"
Okinawa,1992,1949943000,3160461000,"4974,585503","43176,28656","24,66995189","20,18186587","105,8677579","106,7508078"
Hokkaido,1993,8163942000,14103828000,"3721,914821","48593,33935","27,70769317","20,43090713","132,7775796","139,6701188"
Tohoku,1993,17299975000,40290068000,"4613,79912","59259,42464","26,11177184","18,52674957","124,3621435","126,2384572"
Tokyo,1993,67380931000,164283833000,"4641,534645","81847,02168","24,8614404","17,59353277","117,390006","120,6411851"
Chubu,1993,24421771000,78445737000,"4631,048798","81739,59756","23,56311506","16,88214109","111,6782461","114,0746986"
Hokuriku,1993,5027122000,16580923000,"5448,05508","80706,96436","24,85557343","16,7884502","134,3022096","126,9694611"
Kansai,1993,34968962000,88330830000,"4867,31503","76584,32607","23,70633707","16,53351384","119,295005","117,4985622"
Chugoku,1993,12443758000,33057169000,"4627,306773","78065,91774","25,92046551","17,28042713","127,1036486","125,7186777"
